count,date_ymd
1,2019/9/18
2,2019/9/2
1,2019/9/22
1,2019/9/25
1,2019/9/26
1,2019/9/28
1,2019/9/4
1,2019/9/7
1,2019/9/9
2,2020/1/1
6,2020/1/10
1,2020/1/11
33,2020/1/12
1,2020/1/13
12,2020/1/14
2,2020/1/16
1,2020/1/18
1,2020/1/19
8,2020/1/20
19,2020/1/21
2,2020/1/22
1,2020/1/4
16,2020/1/5
1,2020/1/6
1,2020/1/8
1,2020/1/9
1,2020/2/11
2,2020/2/12
1,2020/2/13
15,2020/2/14
7,2020/2/15
15,2020/2/16
16,2020/2/17
7,2020/2/18
3,2020/2/19
1,2020/2/2
6,2020/2/20
1,2020/2/21
9,2020/2/23
1,2020/2/24
2,2020/2/26
1,2020/2/28
2,2020/2/29
12,2020/2/3
1,2020/2/4
6,2020/2/5
2,2020/2/6
1,2020/2/7
1,2020/2/8
3,2020/2/9
4,2020/3/1
6,2020/3/10
5,2020/3/12
1,2020/3/14
2,2020/3/15
1,2020/3/16
3,2020/3/19
3,2020/3/2
12,2020/3/20
6,2020/3/21
6,2020/3/22
5,2020/3/23
36,2020/3/24
12,2020/3/25
3,2020/3/26
4,2020/3/27
4,2020/3/28
5,2020/3/29
2,2020/3/3
5,2020/3/31
1,2020/3/5
13,2020/3/7
6,2020/3/8
4,2020/3/9
4,2020/4/1
8,2020/4/10
7,2020/4/12
27,2020/4/13
6,2020/4/14
2,2020/4/15
4,2020/4/16
7,2020/4/17
8,2020/4/18
7,2020/4/19
2,2020/4/2
7,2020/4/20
3,2020/4/21
6,2020/4/22
1,2020/4/23
12,2020/4/24
68,2020/4/25
14,2020/4/26
3,2020/4/27
1,2020/4/28
4,2020/4/29
1,2020/4/3
11,2020/4/30
37,2020/4/5
15,2020/4/6
7,2020/4/7
16,2020/4/8
11,2020/4/9
3,2020/5/1
4,2020/5/10
60,2020/5/11
71,2020/5/12
28,2020/5/13
15,2020/5/14
17,2020/5/15
39,2020/5/16
86,2020/5/17
32,2020/5/18
24,2020/5/19
8,2020/5/2
13,2020/5/20
24,2020/5/21
4,2020/5/22
16,2020/5/23
13,2020/5/24
11,2020/5/25
6,2020/5/26
3,2020/5/27
24,2020/5/28
18,2020/5/29
3,2020/5/3
71,2020/5/30
43,2020/5/31
1,2020/5/4
2,2020/5/5
1,2020/5/6
6,2020/5/7
3,2020/5/8
3,2020/5/9
55,2020/6/1
20,2020/6/10
41,2020/6/11
70,2020/6/12
23,2020/6/13
24,2020/6/14
15,2020/6/15
27,2020/6/16
9,2020/6/17
1,2020/6/19
8,2020/6/2
2,2020/6/20
1,2020/6/23
4,2020/6/25
4,2020/6/3
11,2020/6/4
16,2020/6/5
3,2020/6/6
20,2020/6/7
54,2020/6/8
72,2020/6/9
